id,title,body,created_at,rate,recommendation_status,is_buyer,product_id,advantages,disadvantages,likes,dislikes,seller_title,seller_code,true_to_size_rate
39426272,اسکراب لایه بردار,"واسه بدن فقط خوبه 
دانه هاش بسیار زبر و درشته",28 شهریور 1401,4.0,,True,7712244,,,0,0,نوکوپو,E9X2K,
36184558,اسکراب شنی مکس لیدی,من اولین باره اسکراب خریدم و چیزی ک راجب این محصول خوندم همه چیش خوبه و ب پوست آسیب نمیزنه فقط من با اینکه سریع شستمش پوستم رنگ گرفت نمیدونم چیکار کنم گویا بیشتر مدلاش ک رنگی هستن پوستو رنگی میکنن,3 تیر 1401,2.0,,False,7712244,,,3,0,,,
19029033,بوی خوبی نداره,بوی این کرم اصلا مثل قبلا نیست، من بخاطر این گرفتمش که از همین کرم اشانتیون روی موم داده بودن و خیلی با کیفیت بود، به علاوه دوستم از همین کرم چندسال پیش داشت و خیلی خوشبو بود ولی انگار اسانسی که استفاده کردن فرق کرده و بوی خوبی نداره جوری که دوست دارین زودتر دستتون رو بشورین که بوش بره. از نظر نرم کنندگی خوبه ولی بیشتر نرم کننده هستش و چربی زیادی نداره. ,14 فروردین 1400,1.0,not_recommended,True,1096464,,,0,0,بازرگانی باتیس,ACN47,
18910385,",",خوبه تنها مشکلش اینه که ماده مضر پارابن داره,9 فروردین 1400,3.0,,False,1096464,,,0,0,,,
18694427,,"قدرت جذب خوب و زیاد چرب نمیکنه دستو
توصیه میکنم",1 فروردین 1400,5.0,recommended,True,1096464,,,0,0,آرالیا بیوتی,ADM47,
18459936,خوب,باکیفیت است,24 اسفند 1399,5.0,recommended,True,1096464,,,0,0,آرالیا بیوتی,ADM47,
18299760,,عالی است. راحته,20 اسفند 1399,4.0,recommended,True,1096464,,,0,0,آرالیا بیوتی,ADM47,
17996048,,واسه کسی خریدم‌چندان راضی نبود,13 اسفند 1399,1.0,recommended,True,1096464,,,0,0,نگزیت,CCZJS,
17836588,,خوبه و خوش بو ,10 اسفند 1399,5.0,recommended,True,1096464,,,0,0,نگزیت,CCZJS,
16840967,پیشنهاد میکنم,خیلی خوبه.راضیم,16 بهمن 1399,4.0,recommended,True,1096464,,,0,0,باران گالری,5AN9N,
16407740,,"فک نکنم نیاز به توضیح باشه. فقط در همین حد که هر وقت این کرم رو توخونه داشتم اوضاع دستام خوبه و اذیت نمیکنه!!!
محصولی که واقعا کیفیت عالی داره.",5 بهمن 1399,5.0,recommended,True,1096464,,,0,0,نگزیت,CCZJS,
15940545,,قیمت مناسب و کیفیت عالی,22 دی 1399,5.0,recommended,True,1096464,,,0,0,آرالیا بیوتی,ADM47,
15927037,,عالیه من خیلی راضیم,21 دی 1399,3.0,recommended,True,1096464,,,0,0,آرالیا بیوتی,ADM47,
15519301,خوشبو,خوشبو و رطوبت خوبی به پوست میده,11 دی 1399,0.0,recommended,True,1096464,,,0,0,نگزیت,CCZJS,
15472741,خوبه,قبلا هم از این کرم استفاده کرده بودم. واقعا خوب و عالیه.,10 دی 1399,3.0,recommended,True,1096464,,,0,0,آرالیا بیوتی,ADM47,
6335875,عالی و مناسب,این کرم رو من همیشه میخرم ولی داروخانه هم انقد مناسب نیس قیمتش و اینکه این مدل کرم عش نرم کننده هستش نه مرطوب کننده,30 بهمن 1398,5.0,,True,1096464,,,0,0,باران گالری,5AN9N,
54199306,,".دوستم استفاده کرده خیلی راضی بود ب منم پیشنهاد داد الان من دوروزه ک استفاده میکنم
",9 مهر 1402,5.0,recommended,True,1810442,,,0,0,همسو کالا,DKN2M,
53838418,,اصلا روی پوست من جواب نداد,28 شهریور 1402,3.0,no_idea,True,1810442,,,0,0,آیرین پلاست,C9YXK,
53603510,خوب بود,همون چیزیه که باید باشه,21 شهریور 1402,5.0,recommended,True,1810442,,,0,0,همسو کالا,DKN2M,
53483190,,بسیار عالیه ,17 شهریور 1402,5.0,recommended,True,1810442,,,0,0,همسو کالا,DKN2M,
53430463,عالی,بهترین ترمیمم کننده,16 شهریور 1402,5.0,recommended,True,1810442,,,0,0,گلسو,ETVFD,
53308054,بی اثر,اصلا تاثیری نداشت.بیش از حد چربه و مدام جوش میزنم.رنگ مواد داخلش هم سفیده خیلی ظاهر بدی داره وقتی میزنی انگار ماست زدی به صورتت.بعد از یه مدت که من خریدم ارزون تر شد درست نیست اینجوری,12 شهریور 1402,1.0,not_recommended,True,1810442,,,0,0,همسو کالا,DKN2M,
53075164,,بعد اصلاح ابرو زدم قرمزی سریع رفت,6 شهریور 1402,5.0,recommended,True,1810442,,,1,0,گلسو,ETVFD,
52989180,,اصلا نتیجه نگرفتم من ,3 شهریور 1402,3.0,not_recommended,True,1810442,,,1,0,ژینا طب,6XZUV,
52937512,,برا پوست من جواب نداد,1 شهریور 1402,2.0,no_idea,True,1810442,,,0,0,لوتوس آزاد,C9VH3,
52728626,کرم خوبیه,برای خانمم خریدم از کیفیتش راضی بود,25 مرداد 1402,2.0,recommended,True,1810442,,,0,0,شونیا,EXNF7,
52618707,عالیه,قبلا استفاده کردم و راضی هستم,22 مرداد 1402,5.0,recommended,True,1810442,['کیفیت'],,0,0,همسو کالا,DKN2M,
52472257,,نسبت به قیمتش خوبه واقعا,18 مرداد 1402,5.0,recommended,True,1810442,,,0,0,لوتوس آزاد,C9VH3,
52249200,ترمیم کننده درماسیف,توتخفیف عالی بود,11 مرداد 1402,5.0,recommended,True,1810442,,,0,0,شونیا,EXNF7,
52145690,تاریخ مصرف گذشته,"متاسفانه تاریخ انقضا کرم سال ۱۳۹۵ درج شده و الان در سال ۱۴۰۲ برام همچین کرمی ارسال کردن شرم اوره 
بازی کردن با پوست مردم جای خجالت و شرمساری داره",7 مرداد 1402,1.0,not_recommended,True,1810442,,,3,1,همسو کالا,DKN2M,
52101239,,تاثیر خاصی ندیدم برای از بین زخم,6 مرداد 1402,2.0,not_recommended,True,1810442,,,0,0, بیوتی بیس,EWJZJ,
51927912,,همیشه انتخابمه,1 مرداد 1402,5.0,recommended,True,1810442,,,0,0, بیوتی بیس,EWJZJ,
51916886,ترمیم کننده خوبیه,برای ترمیم لیزر خریدم و دارم استفاده میکنم فعلا,31 تیر 1402,3.0,recommended,True,1810442,"['حجم خوب', 'ایرانی با کیفیت']",,0,0,گلسو,ETVFD,
51899642,کرم ترمیم کننده سبکی هستش برای جای خال بعد برداشتن گرفتم به کل جای زخمو از بین برد,استفاده کردم و راضی بودم اگه بخوام ترمیم کننده بخرم دوباره همینو سفارش میدم,31 تیر 1402,5.0,recommended,True,1810442,,,0,0,همسو کالا,DKN2M,
6202271,مرطوب کننده,"با و جود اینکه سه سال تاریخ انقضا گذاشته شده ولی دو سال از تاریخ تولید گذشته و فقط یک سال تاریخ داره که یعنی از خیلی وقت پیش در انبار مانده
از نظر کیفیت چون قبلا خریده بودم ازش راضیم",22 بهمن 1398,5.0,recommended,True,1096464,"['قیمت\r', 'حجم']",['کم بودن تاریخ انقضا'],1,0,آرالیا بیوتی,ADM47,
6133290,کرم ایرانی مرغوب و باکیفیت ، قابل رقابت با برند خارجی,"من قبلا از کرم های خارجی برند های Q.V و تحت لیسانس مانند hydra lift  استفاده می کردم. 
نکته ای برای من قابل توجه بود این بود که این برند برخلاف محصولات دیگر نیازی به استفاده مجدد در طول روز ندارد.
مخصوصا هنگامی که دست ها رو زیر آب میشورم.",18 بهمن 1398,5.0,recommended,True,1096464,"['قیمت خیلی مناسب (مخصوصا ۲۰۰ میل)\r', 'با شستشو دست اثر آن از بین نمیرد و نیاز به تجدید ندارد.\r', 'حتی میتوان روزی یک بار از آن استفاده کرد\r', 'دوام بالا\r', 'دست را خیس نمیکند\r', 'آبرسانی بالا']",['ندارد'],1,0,باران گالری,5AN9N,
5080430,ممنون از دیجی,من همیشه از این کرم استفاده میکنم واقعا خیلی خوبه عالیه,18 آذر 1398,5.0,recommended,True,1096464,['واقعا کرم خیلی خوبیه.....'],,1,0,باران گالری,5AN9N,
4628810,متوسط است,این محصول از لحاظ طرفدار متوسط است,24 آبان 1398,3.0,,False,1096464,,,0,0,,,
3418085,بهترین کرم تولید داخل,من پوستم خشکه و زیاد از کرم استفاده میکنم. این کرم واقعا عالیه میتونم بگم بهترین کرم ایرانیه که استفاده کردم,15 مرداد 1398,0.0,recommended,True,1096464,"['نرم کنندگی بالا\r', 'حساسیت نمیدهد']",,4,0,دیجی‌کالا,5A52N,
49518255,,خوب بود من راضی ام,1 خرداد 1402,4.0,recommended,True,6505713,,,0,0,دیجی‌کالا,5A52N,
49460139,,مثل همیشه عالی من سال هاس از این مرطوب کننده استفاده میکنم ,31 اردیبهشت 1402,5.0,recommended,True,6505713,,,0,0,دیجی‌کالا,5A52N,
49410519,کرم,در کل خوب بود,29 اردیبهشت 1402,4.0,,True,6505713,,,0,0,دیجی‌کالا,5A52N,
49397953,,بسیار خوش بو,29 اردیبهشت 1402,4.0,recommended,True,6505713,,,1,0,دیجی‌کالا,5A52N,
49145873,,بار چندمه که برای دستم سفارش میدم و راضیم,21 اردیبهشت 1402,5.0,recommended,True,6505713,,,0,0,دیجی‌کالا,5A52N,
48864913,,قیمت مناسب کیفیت هم بد نیست,13 اردیبهشت 1402,3.0,no_idea,True,6505713,,,0,0,دیجی‌کالا,5A52N,
48544455,کرم مرطوب کننده,یه کرم معمولی بود,3 اردیبهشت 1402,4.0,recommended,True,6505713,,,0,0,دیجی‌کالا,5A52N,
48382493,,خوبه محصولات هیدرودرم,29 فروردین 1402,5.0,recommended,True,6505713,,,0,0,جامبو,5AD97,
48186651,کرم مرطوب کننده,کیفیت خوبی داره فقط یه مقداری از ظرف خالی بود,24 فروردین 1402,3.0,no_idea,True,6505713,,,0,0,جامبو,5AD97,
48139436,,عالی❤️,23 فروردین 1402,4.0,,True,6505713,,,0,0,جامبو,5AD97,
48015076,کرم مرطوب کننده هیدرودرم ,کرم با کیفیتی هست نسبت به بقیه کرم های ایرانی ,21 فروردین 1402,4.0,recommended,True,6505713,,,0,0,دیجی‌کالا,5A52N,
48002206,کرم مرطوب کننده ,من از محصولات هیدرودرم خیلی راضیم.  بوی فوق العاده داره دستو هم خیلی نرم میکنه و تیره هم نکرد. ,20 فروردین 1402,5.0,recommended,True,6505713,,,0,0,جامبو,5AD97,
47633553,,خوب,10 فروردین 1402,4.0,recommended,True,6505713,,,0,0,اودینه,D3P55,
47586667,,عالی هستش عالی نرم میکنه,8 فروردین 1402,5.0,recommended,True,6505713,,,0,0,اودینه,D3P55,
47433367,,خ خوبه ممنونم,3 فروردین 1402,5.0,recommended,True,6505713,,,0,0,جامبو,5AD97,
46669901,,بار دومی هست ک میخرم عالیه هم بوش هم نرم کنندگیش,16 اسفند 1401,5.0,recommended,True,6505713,,,0,0,اودینه,D3P55,
45819270,,مثل همیشه عالی.مرطوب کنندگی و اب رسانی و نرم کنندگی رو واقعا داره ,28 بهمن 1401,4.0,,True,6505713,,,1,0,جامبو,5AD97,
45742613,,بد نیست,26 بهمن 1401,3.0,,True,6505713,,,0,0,دیجی‌کالا,5A52N,
45587503,کرم هیدرودرم. ,کرم خیلی خوبیه  مرطوب کننده عالی.  یکیشو گرفتم. برا خواهرم هم سفارش دادم.  کلا محصولات هیدرودرم. عالیه ,22 بهمن 1401,4.0,recommended,True,6505713,,,1,0,جامبو,5AD97,
45560870,مرطوب کننده,در کل کرم خوبیه,21 بهمن 1401,4.0,,True,6505713,,,0,0,اودینه,D3P55,
45451071,مرطوب‌کننده,هیدرودرم کرمهای عالی داره,19 بهمن 1401,4.0,,False,6505713,,,0,0,,,
45430203,عدم رضایت,برای پوست من مناسب نبود؛ پوستم معمولیه و این کرم خیلی خشک میکرد ,18 بهمن 1401,2.0,no_idea,True,6505713,,,0,0,دیجی‌کالا,5A52N,
45347134,,خوبه و از خریدش راضی هستم,16 بهمن 1401,4.0,recommended,True,6505713,,,0,0,اودینه,D3P55,
45235651,,کیفیت نسبت به قیمت خوب,13 بهمن 1401,3.0,recommended,True,6505713,,,0,0,اودینه,D3P55,
44968534,,کرم مورد علاقه ام عالیه,8 بهمن 1401,5.0,recommended,True,6505713,,,0,0,دیجی‌کالا,5A52N,
44883120,,خیلی خوبه پوستو‌ چرب نمیکنه,6 بهمن 1401,5.0,recommended,True,6505713,,,0,0,دیجی‌کالا,5A52N,
44674827,,کمی و کیفی مناسب است,1 بهمن 1401,5.0,,True,6505713,,,0,0,دیجی‌کالا,5A52N,
44463202,کرم هیدرودرم,کرم دست و صورت که با ظرف کثیف و قیمت بالا به دستمان رسید,27 دی 1401,3.0,,True,6505713,,,0,0,دیجی‌کالا,5A52N,
44345524,,عطر ملایم و اینکه خیلی چرب نیست که ادم بدش بیاد خوبه,25 دی 1401,4.0,recommended,True,6505713,,,0,0,دیجی‌کالا,5A52N,
43831602,کرم هیدرودرم,غلظت و بوی خوبی داره .جذب بالایی داره .نسبت به قیمتش خیلی عالی بود,12 دی 1401,5.0,,True,6505713,,,1,0,باران رخ,E9DZS,
43680642,کرم مرطوب کننده,کلا نسبت به بقیه کرمهای ایرانی عالیه من چندین مرتبه خرید کردم وراضیم,9 دی 1401,3.0,recommended,True,6505713,,,1,0,اودینه,D3P55,
43175401,خیلی خوبه,خریدش رو توصیه میکنم,26 آذر 1401,5.0,recommended,True,6505713,,,1,0,دیجی‌کالا,5A52N,
43159752,کرم مریوط کننده دست هیدرودرم,هیدرودرم همه محصولاتش عالیه,26 آذر 1401,5.0,recommended,True,6505713,,,1,0,اودینه,D3P55,
42783297,کرم نرم کننده,واقعا خیلی خوبه من مدتهاست استفاده میکنم ,17 آذر 1401,4.0,recommended,True,6505713,"['نرم کننده واقعی', 'کیفیت عالی', 'بوی مطلوب']",,1,0,دیجی‌کالا,5A52N,
42682672,خوب بود چون پلوپ بود,خوب بود ممنون دیگه تاثیر شو نمی دانم,14 آذر 1401,4.0,,True,6505713,,,0,0,اودینه,D3P55,
42347826,,بهترین مرطوب کننده ,6 آذر 1401,5.0,recommended,True,6505713,,,1,0,دیجی‌کالا,5A52N,
42316742,کرم هیدرودرم,واقعاخوشبو بود من بوی صورتیشو بیشتر از آبی دوست دارم,5 آذر 1401,0.0,recommended,True,6505713,,,2,0,راسکال,EFGKH,
42238795,عالی,عالیه ممنون ار دیجی کالا,3 آذر 1401,5.0,,False,6505713,,,1,0,,,
41808455,نمیدونم,"من قبلا این کرم را داشتم و عالی بود و باتوجه به تجربه های قبلی ایم یه نظر مثبت ثبت کردم
منتهی دیشب بعد از باز کردن کرم دیدم کیفیتش به شدت افت کرده، نه تنها بوی نارگیل ملایم و خوبی که داشت را دیگه نداره، بوی مواد شیمیایی میداد
اصلا هم مثل قبل سریع پوستم را نرم نکرد که ماندگار بمونه، فقط میزنی روی پوست وحشتناک میسوزونه",21 آبان 1401,2.0,no_idea,True,6505713,,,0,0,دیجی‌کالا,5A52N,
41383491,,بار دومه ک سفارش میدم از همه چیش راضیم بوی خوب نرم کنندگی خوب و حجم خوب و اینکه خیلی چرب نمیکنه اندازه کرم شون بهش برتری داده,11 آبان 1401,5.0,recommended,True,6505713,,,1,0,دیجی‌کالا,5A52N,
41305953,خیله خوبه,خیلی خوبه و جذب پوست میشه خیلی راضیم,10 آبان 1401,5.0,recommended,True,6505713,,,0,0,دیجی‌کالا,5A52N,
41038340,عالی,عالی,4 آبان 1401,5.0,,True,6505713,,,0,0,دیجی‌کالا,5A52N,
40031520,,عالی,11 مهر 1401,5.0,recommended,True,6505713,,,0,0,دیجی‌کالا,5A52N,
39900080,کرم نرم کننده,"بیشتر مردم ابن کرم می شناسند 
دیجی کالا فاقد موجودی است اگر شناس داشته باشی بتوانی سفارش ثبت کنی",7 مهر 1401,5.0,,True,6505713,,,0,0,اودینه,D3P55,
39833553,,عالی,6 مهر 1401,5.0,,True,6505713,,,0,0,دیجی‌کالا,5A52N,
37622994,,"خوبه
اما كرم مصرفيه و زياد استفاده ميشه و قيمتا هم بالا 
من الان جي ميزنم راضيم",14 مرداد 1401,5.0,recommended,True,6505713,,,3,0,دیجی‌کالا,5A52N,
37128355,,به نسبت قیمتش تو تخفیف ویژه ارزش خرید داره. نمیشه گفت تاثیرش خیلی عالیه ولی قابل قبوله,30 تیر 1401,4.0,recommended,True,6505713,,,0,0,دیجی‌کالا,5A52N,
36377030,کیفبت و بو عالی,حجم خوبی داره,10 تیر 1401,5.0,recommended,True,6505713,,,0,0,دیجی‌کالا,5A52N,
35961954,,تا حالا استفاده نکردم ولی چون کلا محصولات هیدرودرم رو دوست دارم اینم سفارش دادم,28 خرداد 1401,4.0,recommended,True,6505713,,,0,0,دیجی‌کالا,5A52N,
35573351,,عالی,16 خرداد 1401,1.0,recommended,True,6505713,,,0,0,دیجی‌کالا,5A52N,
35485998,پیشنهاد میدم,خوبه عطر خوبی داره قیمتش هم مناسبه,14 خرداد 1401,5.0,,True,6505713,['عطر خوبی داره'],,0,0,دیجی‌کالا,5A52N,
35126326,,کیفیت خوب,3 خرداد 1401,4.0,recommended,True,6505713,,,1,0,دیجی‌کالا,5A52N,
35017097,کرم مرطوب کننده,"مثل همیشه عالی
خیلی برندها خریدم ولی این ازهمه بهتربود جذب عالی ",31 اردیبهشت 1401,5.0,recommended,True,6505713,,,1,0,دیجی‌کالا,5A52N,
34873989,خیلی خوبه از همه نظر ,خیلی عالیه,26 اردیبهشت 1401,5.0,,True,6505713,,,1,0,دیجی‌کالا,5A52N,
34609160,مرطوب کننده,"کرم سبک و خوبیه سریع جذب پوست میشه , پوست رو لطیف میکنه",18 اردیبهشت 1401,4.0,recommended,True,6505713,,,1,0,دیجی‌کالا,5A52N,
34356028,,کرم خیلی خوبیه واقعا,11 اردیبهشت 1401,4.0,recommended,True,6505713,,,0,0,دیجی‌کالا,5A52N,
34042590,,کرم معمولی ولی سبک و خوبه و خوشبو,31 فروردین 1401,3.0,recommended,True,6505713,,,0,0,دیجی‌کالا,5A52N,
33173907,,"خیلی زود جذب پوست میشه ،ولی بعد از جذب نرم کنندگی خوبی داره
ولی اگه یکم پوست رو مرطوب نگه می‌داشت بهتر بود",7 فروردین 1401,3.0,recommended,True,6505713,,,0,0,دیجی‌کالا,5A52N,
32819627,کرم مرطوب کننده,بوی خوبی داره-نرم کننده خوبی-جذب خوبی هم داره,25 اسفند 1400,5.0,recommended,True,6505713,,,1,0,دیجی‌کالا,5A52N,
32564242,,"عالیه. اصلا چرب نیست بافت ابریشمی و ماندگار روی پوست داره و اضلا برق نمی اندازه رو پوست. سبک زود جذب با بسته بندی شیک و بوی خیلی ملایم. عاشقش می شوید.
البته برای پوست های خشک و اگزمایی مناسب نیست.",19 اسفند 1400,4.0,recommended,True,6505713,,,1,0,دیجی‌کالا,5A52N,
32401488,,خیلی خوبه راضیم هم بوی مطبوعی داره هم خیلی خوب نرم میکنه,15 اسفند 1400,5.0,recommended,True,6505713,,,1,0,دیجی‌کالا,5A52N,
31893259,,"کیفیتش عالیه بوی خوبیم داره
من پوستم مختلته و نه جوش زدم باهاش و نه خشکی زد پوستم
نسبت به قیمتش عالیه من برا دست و صورت استفاده میکنم",3 اسفند 1400,5.0,recommended,True,6505713,,,3,0,دیجی‌کالا,5A52N,
31722024,مطلوبه,من دوسش داشتم,29 بهمن 1400,4.0,recommended,True,6505713,"['بوی خوب', 'مرطوب کننده و غیر چرب']",,1,0,دیجی‌کالا,5A52N,
31477744,عالیی,سبک با جذب بالا,24 بهمن 1400,5.0,recommended,True,6505713,,,0,0,دیجی‌کالا,5A52N,
31150069,عالیه,از مامور تحویل تشکر ویژه دارم,19 بهمن 1400,5.0,recommended,True,6505713,,,0,0,دیجی‌کالا,5A52N,
31118610,,دوس دارم,19 بهمن 1400,5.0,recommended,True,6505713,,,0,0,دیجی‌کالا,5A52N,
30238123,در کل پیشنهاد میکنم ,مشکلی نداشت ,26 دی 1400,0.0,recommended,True,6505713,['خوبه '],,0,0,دیجی‌کالا,5A52N,
29650812,کرم دست,عاالی,13 دی 1400,0.0,recommended,True,6505713,,,0,0,دیجی‌کالا,5A52N,
29532558,,بنظرم  خوبه من همیشه نیوا استفاده میکردم اما الان که اینو گرفتم بد نیست ازش راضیم,9 دی 1400,3.0,recommended,True,6505713,,,0,0,دیجی‌کالا,5A52N,
28320917,بوی خوب و نرم كننده,هم ظرفش قشنگه هم خوشبو هست,14 آذر 1400,5.0,recommended,True,6505713,,,2,0,دیجی‌کالا,5A52N,
49915786,,مغازه جادویی خیلی خوبه قلم قویی داره,13 خرداد 1402,5.0,,False,11398908,,,0,0,,,
36834764,,خوب بود,23 تیر 1401,4.0,,True,5719602,,,0,0,فمیلی استور,C96G4,
36661366,,عالی,18 تیر 1401,5.0,,True,5719602,,,0,0,فمیلی استور,C96G4,
41449647,,"بسته بندی کتاب مرتب و تمیز بود 
قلم پرویز دوایی عزیز هم بی نظیر ",13 آبان 1401,5.0,recommended,True,350441,,,0,0,کتابکالا,A5659,
23118351,کتاب روزی تو خواهی آمد,کتاب خیلی خوبیه.ارسال و بسته بندی هم خیلی خوب بود و سالم ارسال شده بود,28 تیر 1400,5.0,recommended,True,350441,,,0,0,کتابکالا,A5659,
54382973,بخریم یا نخریم...,برای دم دست کار راه اندازه و نزدیک به رایحه اصلی عطر...,15 مهر 1402,3.0,recommended,True,7409126,,,0,0,چیکا مارکت,CYH2R,
50044130,عالی,همه باید این کتاب رو بخونن، شک نکن سفارش بده,16 خرداد 1402,5.0,recommended,True,3639723,,,0,0,انتشارات السانا,CAEY2,
47931622,,خیلی کلی صحبت کرده و کتاب های بهتری هم در حوزه انگیزشی وجود،دارند ,18 فروردین 1402,3.0,not_recommended,True,3639723,,,0,0,انتشارات السانا,CAEY2,
47833620,برای کسانی که دنبال نظم هستن خوبه,نمیگم خیلی کتاب خفنیه اما خوندش خالی از لطف نیست.,16 فروردین 1402,3.0,recommended,True,3639723,,,0,0,انتشارات السانا,CAEY2,
47219887,,معمولی بود ,27 اسفند 1401,3.0,no_idea,True,3639723,,,0,0,وستا بوک,C5DRZ,
45725979,خوب و با کیفیت ,بسیار عالی و انگیزشی ,25 بهمن 1401,4.0,recommended,True,3639723,,,0,0,نشر وب,C9NTJ,
45599033,قیمت,"نسبت به قیمتش کتاب مفید و خوبیه
",22 بهمن 1401,5.0,recommended,True,3639723,,,0,0,وستا بوک,C5DRZ,
45201761,,ساده،روان و کم حجم در حوزه کتابهای انگیزشی.,13 بهمن 1401,4.0,recommended,True,3639723,,,0,0,انتشارات السانا,CAEY2,
45137765,توصیه میشود ,کتابی کوچک که میتواند در زندگی هر شخصی تاثیر بگذارد ,11 بهمن 1401,4.0,recommended,True,3639723,,,0,0,نشر وب,C9NTJ,
45019982,خوب و تأثیر گذار ,معمولاً برای مطالعه کتاب خوب و با ارزشی است صرف نظر از جنس کاغذ کتاب,9 بهمن 1401,4.0,recommended,True,3639723,['انگیزشی '],,0,0,وستا بوک,C5DRZ,
44914063,خیلی کاربردی بود ,ممنون از دیجی کالا,6 بهمن 1401,5.0,,True,3639723,,,0,0,نشر وب,C9NTJ,
44842949,,عالی واقعا حرف ندارن افکار رو تغییر میده ,5 بهمن 1401,5.0,recommended,True,3639723,,,0,0,وستا بوک,C5DRZ,
44591873,,برای دوستم گرفتم،دوست داشت کتابو,29 دی 1401,3.0,no_idea,True,3639723,,,0,0,انتشارات السانا,CAEY2,
44556934,بخونید,کتاب با حالیه,29 دی 1401,5.0,recommended,True,3639723,,,0,0,نشر وب,C9NTJ,
43668891,خوب,خوبه میشه یه کارایی کرد,9 دی 1401,5.0,recommended,True,3639723,['خوب'],['خوب'],0,0,انتشارات السانا,CAEY2,
43280290,,کتاب خوبیه,29 آذر 1401,4.0,,True,3639723,,,0,0,نشر وب,C9NTJ,
